Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.8,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.7,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:04,Limnonectes leporinus,Spesies,-,Dicroglossidae,Amphibians,Frogs,10.2,,5,1,Tanah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:04,Limnonectes leporinus,Spesies,-,Dicroglossidae,Amphibians,Frogs,9.8,,5,1,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:06,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.3,,3,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:08,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,6.3,,5,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:11,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,5.9,,7,3,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.1,,4,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Psammodynastes pictus,Spesies,-,Pseudaspididae,Reptiles,Snakes,,,1,0.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,6,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Homalopsis buccata,Spesies,-,Homalopsidae,Reptiles,Snakes,,,0,0,Air,Berenang,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:17,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,,,5,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:21,Limnonectes leporinus,Spesies,-,Dicroglossidae,Amphibians,Frogs,,,2,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:28,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,,,2,1,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:28,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:32,Pulchrana picturata,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Tanah,Diam,,Ditemukan di tebing
